Formulation_ID,pipe_index,name_token,name_norm,len_names,len_cas,len_smiles,length_match,assigned_cas_v4,assigned_smiles_v4,assigned_cas_format_ok,assigned_cas_checkdigit_ok,assigned_smiles_parses,name_is_nonchemical,nonchemical_reason,reference_cas_for_name,reference_names_for_assigned_cas,reference_smiles_for_name,smiles_matches_reference,verdict,detail,propagated_to_v4
EyeIrritation6pack_PID10,0,"2,4-(Dichlorophenoxy)]-propionic acid <=100",24dichlorophenoxypropionicacid100,1,1,1,True,120-36-5,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,True,True,True,False,,120-36-5,24dichlorophenoxypropionicacid100,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,True,CAS_OK,assigned CAS in reference set,False
EyeIrritation6pack_PID1000,0,Tri-allate,triallate,3,1,1,False,2303-17-5,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,True,True,True,False,,,,,,UNVERIFIABLE,name absent from reference name2cas,False
EyeIrritation6pack_PID1000,1,Inert ingredients secret,inertingredientssecret,3,1,1,False,,,False,,,False,,,,,,UNVERIFIABLE,,False
EyeIrritation6pack_PID1000,2,Liquid Hydrocarbon secret to,liquidhydrocarbonsecretto,3,1,1,False,,,False,,,False,,,,,,UNVERIFIABLE,,False
EyeIrritation6pack_PID1004,0,triticonazole >98,triticonazole98,1,1,1,True,131983-72-7,CC1(CC/C(=C\C2=CC=C(C=C2)Cl)/C1(CN3C=NC=N3)O)C,True,True,True,False,,131983-72-7,triticonazole|triticonazole98,CC1(C)CC/C(=C\c2ccc(Cl)cc2)C1(O)Cn1cncn1|CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,True,CAS_OK,assigned CAS in reference set,False
EyeIrritation6pack_PID103,0,Glycerol,glycerol,9,9,0,False,56-81-5,,True,True,,False,,56-81-5,23propanetriol95105|glycerin|glycerin39|glycerin76|glycerine|glycerine10|glycerine35solvent|glycerol|glycerol10,OCC(O)CO,,CAS_OK,assigned CAS in reference set,True
EyeIrritation6pack_PID103,1,Propylene Glycol,propyleneglycol,9,9,0,False,57-55-6,,True,True,,False,,57-55-6,2propanediol|principalcomponents2propandiol|propane2diol1|propane2diol3|propane2diol5|propane2diol510tsc|propane2diolpropane12diol5|propyleneglycol|propyleneglycol1015|propyleneglycol3|propyleneglycol37humectant|propyleneglycol38notestablished|propyleneglycol510|propyleneglycol76|propyleneglycolnotlisted,CC(O)CO,,CAS_OK,assigned CAS in reference set,False
EyeIrritation6pack_PID103,2,Azoxystrobin,azoxystrobin,9,9,0,False,131860-33-8,,True,True,,False,,131860-33-8,azoxystrobin|azoxystrobin50nananana|azoxystrobinnoneestablished,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1|COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,,CAS_OK,assigned CAS in reference set,False
EyeIrritation6pack_PID103,3,(R)-Metalaxyl,rmetalaxyl,9,9,0,False,70630-17-0,,True,True,,False,,70630-17-0,hazardouscomponents|mefenoxamandnoneestablished|metalaxylm|rmetalaxyl,COCC(=O)N(c1c(C)cccc1C)[C@H](C)C(=O)OC,,CAS_OK,assigned CAS in reference set,True
EyeIrritation6pack_PID103,4,(S)-metalaxyl,smetalaxyl,9,9,0,False,69516-34-3,,True,True,,False,,69516-34-3,smetalaxyl,,,CAS_OK,assigned CAS in reference set,True
